shipment_id,warehouse_id,destination_id,carrier_id,order_date,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,distance_km,weight_kg,freight_cost,status,on_time_flag
SHP-000001,WH-12,DST-20,CAR-03,2023-01-01,2023-01-03,2023-01-04,2023-01-04,2023-01-04,1240.3,206.1,352.58,Delivered,True
SHP-000002,WH-01,DST-03,CAR-04,2023-01-01,2023-01-02,2023-01-02,2023-01-03,2023-01-03,3110.3,1026.9,24422.83,Delivered,True
SHP-000003,WH-05,DST-03,CAR-04,2023-01-01,2023-01-02,2023-01-03,2023-01-03,2023-01-03,9075.6,1294.0,86777.04,Delivered,True
SHP-000004,WH-06,DST-09,CAR-03,2023-01-01,2023-01-02,2023-01-02,2023-01-04,2023-01-04,912.5,857.6,675.56,Delivered,True
SHP-000005,WH-05,DST-18,CAR-04,2023-01-01,2023-01-03,2023-01-03,2023-01-04,2023-01-04,4891.2,330.6,16609.79,Delivered,True
SHP-000006,WH-03,DST-03,CAR-03,2023-01-01,2023-01-02,2023-01-02,2023-01-05,2023-01-05,3494.4,179.7,928.77,Delivered,True
SHP-000007,WH-01,DST-16,CAR-04,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-04,15591.8,270.1,46910.12,Delivered,True
SHP-000008,WH-02,DST-02,CAR-01,2023-01-01,2023-01-01,2023-01-02,2023-01-03,2023-01-03,1295.0,493.1,1525.81,Delivered,True
SHP-000009,WH-03,DST-02,CAR-01,2023-01-01,2023-01-02,2023-01-02,2023-01-03,2023-01-03,701.2,319.2,618.89,Delivered,True
SHP-000010,WH-11,DST-09,CAR-04,2023-01-02,2023-01-02,2023-01-03,2023-01-03,2023-01-03,5655.9,452.4,23615.47,Delivered,True
SHP-000011,WH-07,DST-08,CAR-02,2023-01-02,2023-01-02,2023-01-03,2023-01-03,2023-01-03,517.2,820.3,823.17,Delivered,True
SHP-000012,WH-01,DST-17,CAR-06,2023-01-02,2023-01-04,2023-01-04,2023-01-20,2023-01-20,11709.0,2217.8,5095.8,Delivered,True
SHP-000013,WH-08,DST-13,CAR-07,2023-01-02,2023-01-03,2023-01-03,2023-01-10,2023-01-13,4671.9,243.5,414.4,Delivered,False
SHP-000014,WH-02,DST-01,CAR-03,2023-01-02,2023-01-02,2023-01-03,2023-01-05,2023-01-05,2205.7,1037.2,1910.25,Delivered,True
SHP-000015,WH-09,DST-15,CAR-01,2023-01-02,2023-01-03,2023-01-04,2023-01-07,2023-01-07,4443.8,901.1,8318.28,Delivered,True
SHP-000016,WH-04,DST-09,CAR-03,2023-01-02,2023-01-02,2023-01-02,2023-01-04,2023-01-04,1424.2,791.9,988.83,Delivered,True
SHP-000017,WH-10,DST-02,CAR-06,2023-01-02,2023-01-04,2023-01-04,2023-01-24,2023-01-27,14875.9,281.4,1289.02,Delivered,False
SHP-000018,WH-01,DST-10,CAR-04,2023-01-02,2023-01-03,2023-01-04,2023-01-04,2023-01-04,7663.9,640.4,41221.01,Delivered,True
