warehouse_id,month,category,stock_units,reorder_point,stockout_flag
WH-01,2023-01-01,Electronics,1318,576,False
WH-01,2023-01-01,Apparel,2246,605,False
WH-01,2023-01-01,Home Goods,2186,785,False
WH-01,2023-01-01,Industrial Parts,918,662,False
WH-01,2023-01-01,Perishables,138,510,True
WH-02,2023-01-01,Electronics,676,446,False
WH-02,2023-01-01,Apparel,3766,968,False
WH-02,2023-01-01,Home Goods,582,147,False
WH-02,2023-01-01,Industrial Parts,397,221,False
WH-02,2023-01-01,Perishables,400,157,False
WH-03,2023-01-01,Electronics,2454,759,False
WH-03,2023-01-01,Apparel,713,398,False
WH-03,2023-01-01,Home Goods,583,308,False
WH-03,2023-01-01,Industrial Parts,2853,939,False
WH-03,2023-01-01,Perishables,2152,816,False
WH-04,2023-01-01,Electronics,2170,758,False
WH-04,2023-01-01,Apparel,2367,928,False
WH-04,2023-01-01,Home Goods,1887,626,False
WH-04,2023-01-01,Industrial Parts,2839,1178,False
WH-04,2023-01-01,Perishables,2560,803,False
WH-05,2023-01-01,Electronics,1233,746,False
WH-05,2023-01-01,Apparel,701,557,False
WH-05,2023-01-01,Home Goods,2217,1061,False
WH-05,2023-01-01,Industrial Parts,1006,300,False
WH-05,2023-01-01,Perishables,4139,1164,False
WH-06,2023-01-01,Electronics,283,164,False
WH-06,2023-01-01,Apparel,662,297,False
WH-06,2023-01-01,Home Goods,536,446,False
WH-06,2023-01-01,Industrial Parts,1361,533,False
WH-06,2023-01-01,Perishables,718,480,False
WH-07,2023-01-01,Electronics,4596,1168,False
WH-07,2023-01-01,Apparel,1613,1218,False
WH-07,2023-01-01,Home Goods,1512,846,False
WH-07,2023-01-01,Industrial Parts,2187,1000,False
WH-07,2023-01-01,Perishables,765,425,False
WH-08,2023-01-01,Electronics,1943,965,False
WH-08,2023-01-01,Apparel,1556,691,False
WH-08,2023-01-01,Home Goods,1311,466,False
WH-08,2023-01-01,Industrial Parts,1257,718,False
WH-08,2023-01-01,Perishables,393,233,False
WH-09,2023-01-01,Electronics,1000,882,False
WH-09,2023-01-01,Apparel,2572,752,False
WH-09,2023-01-01,Home Goods,1523,945,False
WH-09,2023-01-01,Industrial Parts,1368,601,False
WH-09,2023-01-01,Perishables,3703,959,False
WH-10,2023-01-01,Electronics,839,394,False
WH-10,2023-01-01,Apparel,1307,1187,False
WH-10,2023-01-01,Home Goods,3589,1015,False
WH-10,2023-01-01,Industrial Parts,1929,995,False
WH-10,2023-01-01,Perishables,1845,1213,False
WH-11,2023-01-01,Electronics,376,161,False
WH-11,2023-01-01,Apparel,394,316,False
WH-11,2023-01-01,Home Goods,302,263,False
WH-11,2023-01-01,Industrial Parts,591,159,False
WH-11,2023-01-01,Perishables,903,676,False
WH-12,2023-01-01,Electronics,161,755,True
WH-12,2023-01-01,Apparel,492,350,False
WH-12,2023-01-01,Home Goods,203,822,True
WH-12,2023-01-01,Industrial Parts,1105,686,False
WH-12,2023-01-01,Perishables,41,389,True
WH-01,2023-02-01,Electronics,987,652,False
WH-01,2023-02-01,Apparel,2534,994,False
WH-01,2023-02-01,Home Goods,3074,983,False
WH-01,2023-02-01,Industrial Parts,861,424,False
WH-01,2023-02-01,Perishables,73,1082,True
WH-02,2023-02-01,Electronics,2709,923,False
WH-02,2023-02-01,Apparel,3603,963,False
WH-02,2023-02-01,Home Goods,2208,580,False
WH-02,2023-02-01,Industrial Parts,1860,934,False
WH-02,2023-02-01,Perishables,3183,949,False
WH-03,2023-02-01,Electronics,1753,727,False
WH-03,2023-02-01,Apparel,2544,959,False
WH-03,2023-02-01,Home Goods,2521,694,False
WH-03,2023-02-01,Industrial Parts,786,504,False
WH-03,2023-02-01,Perishables,1346,1119,False
WH-04,2023-02-01,Electronics,718,354,False
WH-04,2023-02-01,Apparel,752,338,False
WH-04,2023-02-01,Home Goods,775,237,False
WH-04,2023-02-01,Industrial Parts,986,254,False
WH-04,2023-02-01,Perishables,1925,1122,False
WH-05,2023-02-01,Electronics,3247,896,False
WH-05,2023-02-01,Apparel,2699,1210,False
WH-05,2023-02-01,Home Goods,1038,377,False
WH-05,2023-02-01,Industrial Parts,2473,955,False
WH-05,2023-02-01,Perishables,1363,457,False
WH-06,2023-02-01,Electronics,1910,553,False
WH-06,2023-02-01,Apparel,679,209,False
WH-06,2023-02-01,Home Goods,395,320,False
WH-06,2023-02-01,Industrial Parts,720,414,False
WH-06,2023-02-01,Perishables,3166,866,False
WH-07,2023-02-01,Electronics,3319,1022,False
WH-07,2023-02-01,Apparel,698,409,False
WH-07,2023-02-01,Home Goods,1189,495,False
WH-07,2023-02-01,Industrial Parts,2832,1193,False
WH-07,2023-02-01,Perishables,3268,1206,False
WH-08,2023-02-01,Electronics,905,345,False
WH-08,2023-02-01,Apparel,347,261,False
WH-08,2023-02-01,Home Goods,2365,1178,False
WH-08,2023-02-01,Industrial Parts,668,225,False
WH-08,2023-02-01,Perishables,275,141,False
WH-09,2023-02-01,Electronics,174,945,True
WH-09,2023-02-01,Apparel,1758,1013,False
WH-09,2023-02-01,Home Goods,1051,587,False
WH-09,2023-02-01,Industrial Parts,1391,1039,False
WH-09,2023-02-01,Perishables,2469,852,False
WH-10,2023-02-01,Electronics,775,667,False
WH-10,2023-02-01,Apparel,413,376,False
WH-10,2023-02-01,Home Goods,3757,1127,False
WH-10,2023-02-01,Industrial Parts,3517,919,False
WH-10,2023-02-01,Perishables,4174,1245,False
WH-11,2023-02-01,Electronics,2388,831,False
WH-11,2023-02-01,Apparel,4214,1194,False
WH-11,2023-02-01,Home Goods,2118,567,False
WH-11,2023-02-01,Industrial Parts,744,695,False
WH-11,2023-02-01,Perishables,1789,744,False
WH-12,2023-02-01,Electronics,1158,926,False
WH-12,2023-02-01,Apparel,1086,294,False
WH-12,2023-02-01,Home Goods,1854,817,False
WH-12,2023-02-01,Industrial Parts,1100,457,False
WH-12,2023-02-01,Perishables,797,769,False
WH-01,2023-03-01,Electronics,2832,738,False
WH-01,2023-03-01,Apparel,3536,1018,False
WH-01,2023-03-01,Home Goods,691,688,False
WH-01,2023-03-01,Industrial Parts,889,405,False
WH-01,2023-03-01,Perishables,4762,1219,False
WH-02,2023-03-01,Electronics,3832,1080,False
WH-02,2023-03-01,Apparel,512,154,False
WH-02,2023-03-01,Home Goods,2576,812,False
WH-02,2023-03-01,Industrial Parts,1363,604,False
WH-02,2023-03-01,Perishables,491,329,False
WH-03,2023-03-01,Electronics,330,1134,True
WH-03,2023-03-01,Apparel,2432,1234,False
WH-03,2023-03-01,Home Goods,1529,535,False
WH-03,2023-03-01,Industrial Parts,2966,1156,False
WH-03,2023-03-01,Perishables,1139,356,False
WH-04,2023-03-01,Electronics,3777,1058,False
WH-04,2023-03-01,Apparel,2790,982,False
WH-04,2023-03-01,Home Goods,1543,630,False
WH-04,2023-03-01,Industrial Parts,1686,954,False
WH-04,2023-03-01,Perishables,3462,991,False
WH-05,2023-03-01,Electronics,3058,923,False
WH-05,2023-03-01,Apparel,2844,1132,False
WH-05,2023-03-01,Home Goods,1809,897,False
WH-05,2023-03-01,Industrial Parts,1981,659,False
WH-05,2023-03-01,Perishables,258,172,False
WH-06,2023-03-01,Electronics,3001,801,False
WH-06,2023-03-01,Apparel,297,219,False
WH-06,2023-03-01,Home Goods,2554,898,False
WH-06,2023-03-01,Industrial Parts,2099,604,False
WH-06,2023-03-01,Perishables,3148,1173,False
WH-07,2023-03-01,Electronics,1368,390,False
WH-07,2023-03-01,Apparel,1816,573,False
WH-07,2023-03-01,Home Goods,2555,841,False
WH-07,2023-03-01,Industrial Parts,1346,977,False
WH-07,2023-03-01,Perishables,424,144,False
WH-08,2023-03-01,Electronics,2336,749,False
WH-08,2023-03-01,Apparel,550,306,False
WH-08,2023-03-01,Home Goods,1841,1228,False
WH-08,2023-03-01,Industrial Parts,1378,1247,False
WH-08,2023-03-01,Perishables,2095,735,False
WH-09,2023-03-01,Electronics,1745,465,False
WH-09,2023-03-01,Apparel,1727,904,False
WH-09,2023-03-01,Home Goods,24,186,True
WH-09,2023-03-01,Industrial Parts,2089,801,False
WH-09,2023-03-01,Perishables,1141,409,False
WH-10,2023-03-01,Electronics,2335,807,False
WH-10,2023-03-01,Apparel,1060,339,False
WH-10,2023-03-01,Home Goods,943,443,False
WH-10,2023-03-01,Industrial Parts,829,290,False
WH-10,2023-03-01,Perishables,2324,660,False
WH-11,2023-03-01,Electronics,1331,416,False
WH-11,2023-03-01,Apparel,1513,481,False
WH-11,2023-03-01,Home Goods,515,260,False
WH-11,2023-03-01,Industrial Parts,183,138,False
WH-11,2023-03-01,Perishables,3117,895,False
WH-12,2023-03-01,Electronics,727,330,False
WH-12,2023-03-01,Apparel,3902,1151,False
WH-12,2023-03-01,Home Goods,63,944,True
WH-12,2023-03-01,Industrial Parts,3940,1149,False
WH-12,2023-03-01,Perishables,687,183,False
WH-01,2023-04-01,Electronics,1104,567,False
WH-01,2023-04-01,Apparel,1201,540,False
WH-01,2023-04-01,Home Goods,3316,1034,False
WH-01,2023-04-01,Industrial Parts,1474,506,False
WH-01,2023-04-01,Perishables,59,660,True
WH-02,2023-04-01,Electronics,1230,818,False
WH-02,2023-04-01,Apparel,3566,1089,False
WH-02,2023-04-01,Home Goods,1950,785,False
WH-02,2023-04-01,Industrial Parts,1970,772,False
WH-02,2023-04-01,Perishables,926,313,False
WH-03,2023-04-01,Electronics,1080,496,False
WH-03,2023-04-01,Apparel,1846,506,False
WH-03,2023-04-01,Home Goods,1966,698,False
WH-03,2023-04-01,Industrial Parts,1564,576,False
WH-03,2023-04-01,Perishables,189,177,False
WH-04,2023-04-01,Electronics,1783,976,False
WH-04,2023-04-01,Apparel,1912,935,False
WH-04,2023-04-01,Home Goods,3798,1097,False
WH-04,2023-04-01,Industrial Parts,3395,1249,False
WH-04,2023-04-01,Perishables,2396,635,False
WH-05,2023-04-01,Electronics,20,173,True
WH-05,2023-04-01,Apparel,2731,939,False
WH-05,2023-04-01,Home Goods,3004,983,False
WH-05,2023-04-01,Industrial Parts,719,546,False
WH-05,2023-04-01,Perishables,3717,1096,False
WH-06,2023-04-01,Electronics,723,554,False
WH-06,2023-04-01,Apparel,1085,983,False
WH-06,2023-04-01,Home Goods,1961,1002,False
WH-06,2023-04-01,Industrial Parts,811,713,False
WH-06,2023-04-01,Perishables,1652,727,False
WH-07,2023-04-01,Electronics,134,495,True
WH-07,2023-04-01,Apparel,2754,1097,False
WH-07,2023-04-01,Home Goods,1320,782,False
WH-07,2023-04-01,Industrial Parts,2164,587,False
WH-07,2023-04-01,Perishables,3940,996,False
WH-08,2023-04-01,Electronics,717,227,False
WH-08,2023-04-01,Apparel,3483,1223,False
WH-08,2023-04-01,Home Goods,2706,763,False
WH-08,2023-04-01,Industrial Parts,1447,1038,False
WH-08,2023-04-01,Perishables,675,404,False
WH-09,2023-04-01,Electronics,1364,638,False
WH-09,2023-04-01,Apparel,2476,774,False
WH-09,2023-04-01,Home Goods,931,586,False
WH-09,2023-04-01,Industrial Parts,1287,401,False
WH-09,2023-04-01,Perishables,62,579,True
WH-10,2023-04-01,Electronics,2225,1133,False
WH-10,2023-04-01,Apparel,1310,772,False
WH-10,2023-04-01,Home Goods,1032,302,False
WH-10,2023-04-01,Industrial Parts,2506,1244,False
WH-10,2023-04-01,Perishables,920,721,False
WH-11,2023-04-01,Electronics,1217,567,False
WH-11,2023-04-01,Apparel,1962,515,False
WH-11,2023-04-01,Home Goods,1542,1176,False
WH-11,2023-04-01,Industrial Parts,267,227,False
WH-11,2023-04-01,Perishables,1050,402,False
WH-12,2023-04-01,Electronics,1118,741,False
WH-12,2023-04-01,Apparel,716,382,False
WH-12,2023-04-01,Home Goods,2475,745,False
WH-12,2023-04-01,Industrial Parts,8,182,True
WH-12,2023-04-01,Perishables,2108,734,False
WH-01,2023-05-01,Electronics,650,533,False
WH-01,2023-05-01,Apparel,1096,282,False
WH-01,2023-05-01,Home Goods,3819,1228,False
WH-01,2023-05-01,Industrial Parts,1642,547,False
WH-01,2023-05-01,Perishables,2171,1100,False
WH-02,2023-05-01,Electronics,934,447,False
WH-02,2023-05-01,Apparel,2241,853,False
WH-02,2023-05-01,Home Goods,2590,928,False
WH-02,2023-05-01,Industrial Parts,610,567,False
WH-02,2023-05-01,Perishables,105,1174,True
WH-03,2023-05-01,Electronics,545,503,False
WH-03,2023-05-01,Apparel,405,153,False
WH-03,2023-05-01,Home Goods,1730,536,False
WH-03,2023-05-01,Industrial Parts,1341,1028,False
WH-03,2023-05-01,Perishables,1345,713,False
WH-04,2023-05-01,Electronics,1810,695,False
WH-04,2023-05-01,Apparel,1300,462,False
WH-04,2023-05-01,Home Goods,810,647,False
WH-04,2023-05-01,Industrial Parts,1376,647,False
WH-04,2023-05-01,Perishables,1331,821,False
WH-05,2023-05-01,Electronics,615,263,False
WH-05,2023-05-01,Apparel,24,593,True
WH-05,2023-05-01,Home Goods,684,334,False
WH-05,2023-05-01,Industrial Parts,1723,835,False
WH-05,2023-05-01,Perishables,1013,788,False
WH-06,2023-05-01,Electronics,1525,524,False
WH-06,2023-05-01,Apparel,1176,401,False
WH-06,2023-05-01,Home Goods,2369,602,False
WH-06,2023-05-01,Industrial Parts,126,522,True
WH-06,2023-05-01,Perishables,981,817,False
WH-07,2023-05-01,Electronics,623,199,False
WH-07,2023-05-01,Apparel,564,176,False
WH-07,2023-05-01,Home Goods,1534,408,False
WH-07,2023-05-01,Industrial Parts,1055,433,False
WH-07,2023-05-01,Perishables,631,239,False
WH-08,2023-05-01,Electronics,1164,313,False
WH-08,2023-05-01,Apparel,3176,981,False
WH-08,2023-05-01,Home Goods,697,190,False
WH-08,2023-05-01,Industrial Parts,2780,894,False
WH-08,2023-05-01,Perishables,3521,1182,False
WH-09,2023-05-01,Electronics,729,189,False
WH-09,2023-05-01,Apparel,136,678,True
WH-09,2023-05-01,Home Goods,1885,533,False
WH-09,2023-05-01,Industrial Parts,1776,520,False
WH-09,2023-05-01,Perishables,1484,465,False
WH-10,2023-05-01,Electronics,1197,578,False
WH-10,2023-05-01,Apparel,2646,791,False
WH-10,2023-05-01,Home Goods,1023,599,False
WH-10,2023-05-01,Industrial Parts,414,154,False
WH-10,2023-05-01,Perishables,113,670,True
WH-11,2023-05-01,Electronics,1515,1006,False
WH-11,2023-05-01,Apparel,2871,999,False
WH-11,2023-05-01,Home Goods,289,209,False
WH-11,2023-05-01,Industrial Parts,642,538,False
WH-11,2023-05-01,Perishables,467,218,False
WH-12,2023-05-01,Electronics,4714,1235,False
WH-12,2023-05-01,Apparel,6,279,True
WH-12,2023-05-01,Home Goods,670,263,False
WH-12,2023-05-01,Industrial Parts,1020,304,False
WH-12,2023-05-01,Perishables,2677,1141,False
WH-01,2023-06-01,Electronics,543,209,False
WH-01,2023-06-01,Apparel,1361,781,False
WH-01,2023-06-01,Home Goods,1981,840,False
WH-01,2023-06-01,Industrial Parts,1815,642,False
WH-01,2023-06-01,Perishables,1227,433,False
WH-02,2023-06-01,Electronics,2039,1036,False
WH-02,2023-06-01,Apparel,514,129,False
WH-02,2023-06-01,Home Goods,1862,629,False
WH-02,2023-06-01,Industrial Parts,1005,917,False
WH-02,2023-06-01,Perishables,811,274,False
WH-03,2023-06-01,Electronics,1194,506,False
WH-03,2023-06-01,Apparel,1247,1131,False
WH-03,2023-06-01,Home Goods,1361,964,False
WH-03,2023-06-01,Industrial Parts,2660,904,False
WH-03,2023-06-01,Perishables,1152,614,False
WH-04,2023-06-01,Electronics,674,628,False
WH-04,2023-06-01,Apparel,1096,313,False
WH-04,2023-06-01,Home Goods,3341,850,False
WH-04,2023-06-01,Industrial Parts,800,310,False
WH-04,2023-06-01,Perishables,2517,781,False
WH-05,2023-06-01,Electronics,494,226,False
WH-05,2023-06-01,Apparel,584,529,False
WH-05,2023-06-01,Home Goods,4231,1197,False
WH-05,2023-06-01,Industrial Parts,3012,1024,False
WH-05,2023-06-01,Perishables,1376,344,False
WH-06,2023-06-01,Electronics,1298,451,False
WH-06,2023-06-01,Apparel,46,181,True
WH-06,2023-06-01,Home Goods,1225,461,False
WH-06,2023-06-01,Industrial Parts,1535,787,False
WH-06,2023-06-01,Perishables,2687,979,False
WH-07,2023-06-01,Electronics,568,212,False
WH-07,2023-06-01,Apparel,547,199,False
WH-07,2023-06-01,Home Goods,2179,711,False
WH-07,2023-06-01,Industrial Parts,286,211,False
WH-07,2023-06-01,Perishables,1682,651,False
WH-08,2023-06-01,Electronics,23,544,True
WH-08,2023-06-01,Apparel,3397,1159,False
WH-08,2023-06-01,Home Goods,664,475,False
WH-08,2023-06-01,Industrial Parts,1597,1246,False
WH-08,2023-06-01,Perishables,589,444,False
WH-09,2023-06-01,Electronics,1334,1077,False
WH-09,2023-06-01,Apparel,1248,884,False
WH-09,2023-06-01,Home Goods,424,255,False
WH-09,2023-06-01,Industrial Parts,337,204,False
WH-09,2023-06-01,Perishables,4619,1238,False
WH-10,2023-06-01,Electronics,662,204,False
WH-10,2023-06-01,Apparel,559,475,False
WH-10,2023-06-01,Home Goods,3441,972,False
WH-10,2023-06-01,Industrial Parts,2451,1103,False
WH-10,2023-06-01,Perishables,3,503,True
WH-11,2023-06-01,Electronics,1563,538,False
WH-11,2023-06-01,Apparel,2462,1026,False
WH-11,2023-06-01,Home Goods,98,741,True
WH-11,2023-06-01,Industrial Parts,732,514,False
WH-11,2023-06-01,Perishables,832,497,False
WH-12,2023-06-01,Electronics,348,136,False
WH-12,2023-06-01,Apparel,22,198,True
WH-12,2023-06-01,Home Goods,1812,578,False
WH-12,2023-06-01,Industrial Parts,3969,1176,False
WH-12,2023-06-01,Perishables,2835,1016,False
WH-01,2023-07-01,Electronics,1142,550,False
WH-01,2023-07-01,Apparel,631,165,False
WH-01,2023-07-01,Home Goods,2049,626,False
WH-01,2023-07-01,Industrial Parts,823,549,False
WH-01,2023-07-01,Perishables,3877,1041,False
WH-02,2023-07-01,Electronics,758,658,False
WH-02,2023-07-01,Apparel,123,789,True
WH-02,2023-07-01,Home Goods,13,142,True
WH-02,2023-07-01,Industrial Parts,1512,446,False
WH-02,2023-07-01,Perishables,656,181,False
WH-03,2023-07-01,Electronics,762,221,False
WH-03,2023-07-01,Apparel,312,1177,True
WH-03,2023-07-01,Home Goods,477,170,False
WH-03,2023-07-01,Industrial Parts,425,174,False
WH-03,2023-07-01,Perishables,2898,1059,False
WH-04,2023-07-01,Electronics,1273,906,False
WH-04,2023-07-01,Apparel,3432,900,False
WH-04,2023-07-01,Home Goods,394,153,False
WH-04,2023-07-01,Industrial Parts,998,478,False
WH-04,2023-07-01,Perishables,1233,780,False
WH-05,2023-07-01,Electronics,1020,911,False
WH-05,2023-07-01,Apparel,3683,1181,False
WH-05,2023-07-01,Home Goods,839,600,False
WH-05,2023-07-01,Industrial Parts,837,752,False
WH-05,2023-07-01,Perishables,1772,641,False
WH-06,2023-07-01,Electronics,1090,1033,False
WH-06,2023-07-01,Apparel,2906,1117,False
WH-06,2023-07-01,Home Goods,605,309,False
WH-06,2023-07-01,Industrial Parts,360,129,False
WH-06,2023-07-01,Perishables,2412,966,False
WH-07,2023-07-01,Electronics,1309,497,False
WH-07,2023-07-01,Apparel,1946,515,False
WH-07,2023-07-01,Home Goods,3744,979,False
WH-07,2023-07-01,Industrial Parts,2981,805,False
WH-07,2023-07-01,Perishables,1479,1059,False
WH-08,2023-07-01,Electronics,2021,629,False
WH-08,2023-07-01,Apparel,202,194,False
WH-08,2023-07-01,Home Goods,1134,1080,False
WH-08,2023-07-01,Industrial Parts,624,254,False
WH-08,2023-07-01,Perishables,591,206,False
WH-09,2023-07-01,Electronics,3031,1030,False
WH-09,2023-07-01,Apparel,894,323,False
WH-09,2023-07-01,Home Goods,3423,1016,False
WH-09,2023-07-01,Industrial Parts,2604,959,False
WH-09,2023-07-01,Perishables,1840,822,False
WH-10,2023-07-01,Electronics,2553,913,False
WH-10,2023-07-01,Apparel,3472,933,False
WH-10,2023-07-01,Home Goods,1849,839,False
WH-10,2023-07-01,Industrial Parts,541,173,False
WH-10,2023-07-01,Perishables,4091,1085,False
WH-11,2023-07-01,Electronics,635,253,False
