destination_id,city,country,region,lat,lon
DST-01,New York,United States,North America,40.7128,-74.006
DST-02,Chicago,United States,North America,41.8781,-87.6298
DST-03,Los Angeles,United States,North America,34.0522,-118.2437
DST-04,Montreal,Canada,North America,45.5019,-73.5674
DST-05,Mexico City,Mexico,North America,19.4326,-99.1332
DST-06,London,United Kingdom,Europe,51.5074,-0.1278
DST-07,Paris,France,Europe,48.8566,2.3522
DST-08,Berlin,Germany,Europe,52.52,13.405
DST-09,Madrid,Spain,Europe,40.4168,-3.7038
DST-10,Milan,Italy,Europe,45.4642,9.19
DST-11,Stockholm,Sweden,Europe,59.3293,18.0686
DST-12,Tokyo,Japan,Asia Pacific,35.6762,139.6503
DST-13,Seoul,South Korea,Asia Pacific,37.5665,126.978
DST-14,Mumbai,India,Asia Pacific,19.076,72.8777
DST-15,Jakarta,Indonesia,Asia Pacific,-6.2088,106.8456
DST-16,Melbourne,Australia,Asia Pacific,-37.8136,144.9631
DST-17,Riyadh,Saudi Arabia,Middle East,24.7136,46.6753
DST-18,Abu Dhabi,United Arab Emirates,Middle East,24.4539,54.3773
DST-19,Doha,Qatar,Middle East,25.2854,51.531
DST-20,Cairo,Egypt,Middle East,30.0444,31.2357
