warehouse_id,month,category,stock_units,reorder_point,stockout_flag
WH-01,2023-01-01,Electronics,2782,576,False
WH-01,2023-01-01,Apparel,3072,643,False
WH-01,2023-01-01,Home Goods,3995,887,False
WH-01,2023-01-01,Industrial Parts,3958,832,False
WH-01,2023-01-01,Perishables,3275,701,False
WH-02,2023-01-01,Electronics,2291,439,False
WH-02,2023-01-01,Apparel,2198,446,False
WH-02,2023-01-01,Home Goods,2764,584,False
WH-02,2023-01-01,Industrial Parts,1104,228,False
WH-02,2023-01-01,Perishables,997,221,False
WH-03,2023-01-01,Electronics,4616,975,False
WH-03,2023-01-01,Apparel,2840,626,False
WH-03,2023-01-01,Home Goods,3529,759,False
WH-03,2023-01-01,Industrial Parts,1841,398,False
WH-03,2023-01-01,Perishables,3636,794,False
WH-04,2023-01-01,Electronics,3815,816,False
WH-04,2023-01-01,Apparel,2147,459,False
WH-04,2023-01-01,Home Goods,4210,896,False
WH-04,2023-01-01,Industrial Parts,2193,484,False
WH-04,2023-01-01,Perishables,2652,540,False
WH-05,2023-01-01,Electronics,3861,803,False
WH-05,2023-01-01,Apparel,3671,746,False
WH-05,2023-01-01,Home Goods,2647,557,False
WH-05,2023-01-01,Industrial Parts,2487,554,False
WH-05,2023-01-01,Perishables,1630,300,False
WH-06,2023-01-01,Electronics,648,164,False
WH-06,2023-01-01,Apparel,5444,1168,False
WH-06,2023-01-01,Home Goods,3036,634,False
WH-06,2023-01-01,Industrial Parts,880,212,False
WH-06,2023-01-01,Perishables,2494,533,False
WH-07,2023-01-01,Electronics,2403,480,False
WH-07,2023-01-01,Apparel,5383,1168,False
WH-07,2023-01-01,Home Goods,3119,595,False
WH-07,2023-01-01,Industrial Parts,5162,1094,False
WH-07,2023-01-01,Perishables,1307,223,False
WH-08,2023-01-01,Electronics,4604,1000,False
WH-08,2023-01-01,Apparel,1930,425,False
WH-08,2023-01-01,Home Goods,3613,722,False
WH-08,2023-01-01,Industrial Parts,4565,965,False
WH-08,2023-01-01,Perishables,3490,691,False
WH-09,2023-01-01,Electronics,5697,1194,False
WH-09,2023-01-01,Apparel,3830,848,False
WH-09,2023-01-01,Home Goods,3233,718,False
WH-09,2023-01-01,Industrial Parts,1441,259,False
WH-09,2023-01-01,Perishables,1055,233,False
WH-10,2023-01-01,Electronics,3956,882,False
WH-10,2023-01-01,Apparel,3919,888,False
WH-10,2023-01-01,Home Goods,4275,945,False
WH-10,2023-01-01,Industrial Parts,1759,378,False
WH-10,2023-01-01,Perishables,1530,316,False
WH-11,2023-01-01,Electronics,4689,959,False
WH-11,2023-01-01,Apparel,1846,394,False
WH-11,2023-01-01,Home Goods,3293,725,False
WH-11,2023-01-01,Industrial Parts,1004,155,False
WH-11,2023-01-01,Perishables,4874,1015,False
WH-12,2023-01-01,Electronics,4623,995,False
WH-12,2023-01-01,Apparel,4033,815,False
WH-12,2023-01-01,Home Goods,1521,333,False
WH-12,2023-01-01,Industrial Parts,1836,434,False
WH-12,2023-01-01,Perishables,1391,263,False
WH-01,2023-02-01,Electronics,5055,976,False
WH-01,2023-02-01,Apparel,830,187,False
WH-01,2023-02-01,Home Goods,5514,1001,False
WH-01,2023-02-01,Industrial Parts,6338,1205,False
WH-01,2023-02-01,Perishables,4043,755,False
WH-02,2023-02-01,Electronics,6182,1167,False
WH-02,2023-02-01,Apparel,6182,1184,False
WH-02,2023-02-01,Home Goods,3545,686,False
WH-02,2023-02-01,Industrial Parts,4734,938,False
WH-02,2023-02-01,Perishables,5626,1083,False
WH-03,2023-02-01,Electronics,3752,652,False
WH-03,2023-02-01,Apparel,731,179,False
WH-03,2023-02-01,Home Goods,6013,1198,False
WH-03,2023-02-01,Industrial Parts,5275,983,False
WH-03,2023-02-01,Perishables,2467,484,False
WH-04,2023-02-01,Electronics,3118,592,False
WH-04,2023-02-01,Apparel,4009,736,False
WH-04,2023-02-01,Home Goods,5895,1039,False
WH-04,2023-02-01,Industrial Parts,5849,1087,False
WH-04,2023-02-01,Perishables,3098,580,False
WH-05,2023-02-01,Electronics,4640,919,False
WH-05,2023-02-01,Apparel,4964,949,False
WH-05,2023-02-01,Home Goods,3153,622,False
WH-05,2023-02-01,Industrial Parts,5199,959,False
WH-05,2023-02-01,Perishables,2677,521,False
WH-06,2023-02-01,Electronics,3011,581,False
WH-06,2023-02-01,Apparel,2618,504,False
WH-06,2023-02-01,Home Goods,5963,1119,False
WH-06,2023-02-01,Industrial Parts,776,181,False
WH-06,2023-02-01,Perishables,1998,338,False
WH-07,2023-02-01,Electronics,3965,737,False
WH-07,2023-02-01,Apparel,1788,338,False
WH-07,2023-02-01,Home Goods,1328,259,False
WH-07,2023-02-01,Industrial Parts,5483,1023,False
WH-07,2023-02-01,Perishables,5574,1026,False
WH-08,2023-02-01,Electronics,4541,896,False
WH-08,2023-02-01,Apparel,5606,982,False
WH-08,2023-02-01,Home Goods,1530,333,False
WH-08,2023-02-01,Industrial Parts,2022,377,False
WH-08,2023-02-01,Perishables,4977,955,False
WH-09,2023-02-01,Electronics,4154,802,False
WH-09,2023-02-01,Apparel,1840,351,False
WH-09,2023-02-01,Home Goods,3019,553,False
